Hole Depth (ft),True Vertical Depth (ft),Hydrostatic Pressure (psi),Confined Pressure (psi),Mechanical Specific Energy (psi),Unconfined Compressive Strength (psi),Confined Compressive Strength (psi),Young modulus (GPa),Bulk Density (g/cc),Porosity (fraction),Permeability (nD),Compressional wave (microsec/ft),Shear wave (microsec/ft),NPHI,Gamma
11277,9850.58,713.2112443,1129.287297,375450.0464,206497.5255,295642.6857,13735.7616,2.557140314,0.001833132,0.09454868,9.229172801,11.16926374,,
11278,9850.64,713.2155885,1118.024727,369608.1104,203284.4607,289663.4002,13432.00471,2.557104756,0.001855925,0.097552964,9.539710363,11.56178359,,
11279,9850.66,713.2170365,1137.98071,369075.1255,202991.319,291673.988,13571.40314,2.557101462,0.001858037,0.097834169,9.568285965,11.59796026,,
11280,9850.7,713.2199326,1113.950188,369900.707,203445.3889,289389.038,13409.84918,2.557106561,0.001854768,0.097399105,9.524040525,11.54194969,,
11281,9850.74,713.2228288,1118.191924,370886.6859,203987.6773,290685.1856,13479.77422,2.557112624,0.001850882,0.096883311,9.47132811,11.47525085,,
11282,9850.79,713.2264489,1136.370566,373651.8782,205508.533,295093.2385,13726.7548,2.557129475,0.00184008,0.09545844,9.3242396,11.28930777,,
11283,9850.82,713.228621,1105.361231,406566.9598,223611.8279,316899.8419,14662.78298,2.557314227,0.001721649,0.080664071,7.652475612,9.193687036,,
11284,9850.86,713.2315171,1087.179108,405732.5632,223152.9098,322262.8683,14863.37139,2.556206128,0.002431969,0.193378784,7.693156938,9.24429843,,
11285,9850.9,713.2344132,1084.042863,331812.2363,182496.73,256214.9223,11810.54224,2.556847884,0.002020587,0.120973068,11.67582972,14.29292818,,
11286,9850.94,713.2373094,1097.931957,367967.6579,202382.2118,285885.6986,13210.60561,2.55709459,0.001862442,0.098422378,9.627794231,11.67332856,,
11287,9850.98,713.2402055,1110.661367,352726.608,193999.6344,275561.8453,12761.84845,2.55699611,0.001925571,0.107087476,10.4654531,12.7386925,,
11288,9851.02,713.2431016,1114.903103,368973.512,202935.4316,288778.3632,13383.75539,2.557100833,0.00185844,0.097887919,9.573738582,11.60486436,,
11289,9851.06,713.2459977,1116.055684,368997.0414,202948.3728,288938.4773,13393.84124,2.557100979,0.001858347,0.097875469,9.572475852,11.60326546,,
11290,9851.1,713.2488938,1106.031326,346860.478,190773.2629,270437.5183,12514.45723,2.556956149,0.001951187,0.110730339,10.79754531,13.16337443,,
11291,9851.14,713.2517899,1102.57517,361026.8596,198564.7728,281060.5295,12998.19808,2.557050664,0.0018906,0.102232739,10.00487718,12.15188455,,
11292,9851.19,713.2554101,1117.07482,368909.3697,202900.1533,288994.1048,13398.77509,2.557100436,0.001858695,0.09792187,9.577181256,11.60922365,,
11293,9851.22,713.2575822,1143.259821,336877.9104,185282.8507,266803.5855,12425.27036,2.556885294,0.001996606,0.117371736,11.37580348,13.90601859,,
11294,9851.27,713.2612023,1151.031314,345998.4737,190299.1606,274896.3889,12818.87426,2.556950175,0.001955016,0.111281285,10.84681768,13.22649693,,
11295,9851.3,713.2633744,1123.461037,317975.3828,174886.4605,249767.784,11592.82725,2.556740287,0.002089559,0.13170061,12.51930078,15.38653301,,
11296,9851.34,713.2662705,1122.504196,349061.7039,191983.9371,274074.8776,12718.93953,2.556971285,0.001941484,0.109341875,10.6722762,13.0030242,,
11297,9851.38,713.2691667,1119.22799,349044.0294,191974.2161,273680.8401,12693.50561,2.556971164,0.001941562,0.109352919,10.67327889,13.00430694,,
11298,9851.43,713.2727868,1131.618218,354960.8238,195228.4531,289887.0907,13473.70245,2.555869445,0.002647792,0.23981653,10.34042037,12.57914154,,
11299,9851.47,713.2756829,1150.825855,358208.0549,197014.4302,284571.5304,13269.5859,2.55703239,0.001902314,0.103843703,10.16009267,12.34935846,,
11300,9851.5,713.277855,1146.359251,381138.4838,209626.1661,302237.975,14082.82152,2.557174,0.001811538,0.091754851,8.931403426,10.79394657,,
11301,9851.55,713.2814752,1159.94915,339510.3623,186730.6993,282027.9483,13170.99424,2.555750864,0.002723805,0.2576288,11.22166709,13.70767039,,
