Hole Depth (ft),True Vertical Depth (ft),Hydrostatic Pressure (psi),Confined Pressure (psi),Mechanical Specific Energy (psi),Unconfined Compressive Strength (psi),Confined Compressive Strength (psi),Young modulus (GPa),Bulk Density (g/cc),Porosity (fraction),Permeability (nD),Compressional wave (microsec/ft),Shear wave (microsec/ft),Gamma (API)
9306,8928.3,707.0387553683997,1567.3531490719713,84213.5090120888,46317.42995664885,85783.43049108409,4245.296395993304,2.549687109846943,0.006610827021190415,2.430785991505757,38.82858037133036,54.4950253909319,79.1
9307,8928.9,707.0862698171999,1545.0667798936286,74585.0336678527,41021.76851731898,75263.84125965627,3714.4378053873797,2.548859191251356,0.0071415440696437306,2.955542639520858,41.23284734052791,58.62987533773101,77.5
9308,8929.6,707.1417033408,1536.8344831008003,73622.80847324735,40492.54466028605,74031.16158223523,3649.84492388354,2.5487668044338534,0.0072007663885554464,3.017977463439578,41.48997586622037,59.07852613780114,87.2
9309,8930.2,707.1892177896,1534.022780576743,76535.49669687939,42094.523183283665,76866.01218685313,3788.2708893773465,2.549040609893555,0.007025250068233845,2.835229494729388,40.72166365112527,57.74167170375976,96.9
9310,8930.8,707.2367322383999,1538.9189671648285,72824.4703319715,40053.45868258433,73290.58537459312,3614.2768347896704,2.548688640407915,0.0072508715333877705,3.0714183511314794,41.7058738029296,59.45621227790687,95.6
9311,8931.5,707.2921657619999,1574.0547935477143,76226.84492333606,41924.76470783484,77857.08936306392,3856.2009396258054,2.5490124075787897,0.007043328475134987,2.8537343390977488,40.801682385584,57.88038078662115,94.3
9312,8932.1,707.3396802108,1542.9308446350858,76329.78669238125,41981.38268080969,76946.31263624749,3796.4598473533883,2.5490218343699675,0.007037285660277427,2.8475408814453522,40.77495852363219,57.834042643823274,93.0
9313,8932.8,707.3951137343998,1548.0248982786857,76203.19570542389,41911.757637983144,76983.19369529844,3800.6915517559346,2.549010238982412,0.007044718601017813,2.8551602716143125,40.807826861392336,57.8910369796976,96.9
9314,8933.4,707.4426281831999,1555.8902717232002,75609.08623226597,41584.99742774628,76635.81952224337,3787.2364860299535,2.5489553963189655,0.007079874154509301,2.8913647317022644,40.9628156927519,58.160066184251974,100.8
9315,8934.0,707.4901426319999,1549.7394836434285,71537.69113619029,39345.730124904665,72319.52732835924,3571.205765509019,2.5485596585906127,0.007333552185504572,3.1608474905538513,42.05889499289392,60.07570740644055,100.0
